AMIE;x;y
353;549334;9838101
354;549367,5909;9811243,631
355;549438,8251;9832345,014
356;549602,659;9847623,307
357;549696,59;9807658,55
358;549798,2909;9837386,527
359;549832,256;9859892,226
360;549870,6192;9820393,329
361;549900,1656;9822237,172
362;549990,2767;9810861,32
363;550167,113;9868138,278
364;550202,403;9862694,141
365;550202,552;9856912,925
366;550236,148;9865070,249
367;550306;9778225
368;550660,6308;9823858,176
369;550662,8618;9834257,617
370;550885,4891;9831621,274
371;550949,2664;9902975,987
372;551182,1363;9903147,155
373;551292;9846827
374;551311,8224;9839762,214
375;551344,113;9837336,862
376;551378,332;9856758,935
377;551442,471;9826547,847
378;551518,0964;9904105,819
379;551595,5183;9828722,33
380;551648,4425;9803696,573
381;551653,1196;9841248,712
382;551675,8745;9844874,615
383;551716,3841;9833437,598
384;551729,0346;9837323,229
385;551896,197;9854082,852
386;551938,56;9905128,207
387;551975,301;9857852,068
388;551978,4462;9880595,78
389;552006,6621;9906000,189
390;552100,2308;9831292,657
391;552111,6442;9905155,819
392;552187,7646;9841521,868
393;552361,808;9860013,821
394;552408,41;9863902,005
395;552607,262;9850207,805
396;552797,76;9866115,329
397;552847,629;9908355,077
398;552848;9847174
399;552864,494;9848712,364
400;552895,5121;9827772,442
401;552996;9741284
402;553102,8884;9843692,456
403;553246,4144;9908999,811
404;553496,158;9822466,038
405;553539,741;9906580,305
406;553609,776;9804461,693
407;553795;9832584
408;553885,326;9880867
409;553989,1591;9840842,932
410;554001,1097;9913626,807
411;554010,3073;9912982,023
412;554081,5715;9914504,931
413;554139,027;9833750,251
414;554180,675;9829876,378
415;554284,4526;9834622,216
416;554544;9717401
417;554602,1474;9915634,296
418;554704,8496;9809616,644
419;554714,1512;9835441,92
420;554747;9908229
421;554797,3617;9904133,039
422;554886,484;9842332,378
423;554936;9858263
424;555140,8716;9907541,139
425;555198,791;9854463,355
426;555301,4503;9906435,774
427;555323,505;9850628,833
428;555370,075;9900957,055
429;555453,127;9848642,846
430;555472,867;9903318,322
431;555572,675;9903543,114
432;555651;9909499
433;555699;9911459
434;555814,497;9836709,755
435;555953,8653;9908508,213
436;556014;9881562
437;556043;9824694
438;556299,8111;9906794,883
439;556352,236;9902305,034
440;556365,9869;9805440,426
441;556390,271;9885940,995
442;556396,705;9886795,076
443;556399,6586;9803397,103
444;556412,738;9898732,175
445;556467;9830601
446;556475,0909;9809023,587
447;556649,647;9840375,648
448;556690,239;9904589,105
449;556768,6656;9833844,834
450;556908;9847643
451;556913;9715405
452;556947,596;9883588,388
453;556955,669;9900839,646
454;556967,9365;9814992,37
455;556981,434;9882794,914
456;557026,2295;9907476,419
457;557051,362;9827226,795
458;557120,645;9885623,147
459;557144,988;9883745,325
460;557160,081;9853749,993
461;557161,1828;9818330,876
462;557202,3218;9907222,559
463;557233,136;9884866,459
464;557243,359;9887935,457
465;557288;9715155
466;557291,9875;9907111,005
467;557412,556;9895291,876
468;557511,31;9548154,8
469;557523,2465;9811789,764
470;557545,043;9887417,444
471;557655,7598;9834913,133
472;557709,1873;9883717,362
473;557790,9879;9838214,665
474;557875,6304;9836939,563
475;557918,229;9852066,385
476;557972,1838;9840221,827
477;557998,552;9856739,103
478;558027,552;9850681,494
479;558091,411;9868057,042
480;558198,15;9889123,29
481;558213,283;9856880,72
482;558220;9738695
483;558248;9738699
484;558421;9883087
485;558421,894;9883087,423
486;558527,456;9883039,962
487;558535,243;9845655,834
488;558554,6172;9834275,28
489;558627,4587;9804905,543
490;558663,075;9890992,138
491;558865,835;9895066,924
492;558904,6394;9882246,532
493;558969,1555;9905153,43
494;558969,289;9863800,2
495;559021,0069;9809025,962
496;559045,655;9823286,174
497;559057,829;9882718,257
498;559081,592;9894192,291
499;559088,21;9858441,577
500;559131,803;9884208,971
501;559131,803;9884208,971
502;559167,2986;9812906,957
503;559260,756;9887853,883
504;559358,512;9883213,606
505;559359,828;9885183,344
506;559372,161;9890402,64
507;559430,0796;9882492,075
508;559434;9884336
509;559466,786;9892961,369
510;559551,235;9854909,541
511;559551,818;9890418,017
512;559564,344;9886725,827
513;559575,986;9840763,607
514;559684,6;9806581,703
515;559728,698;9828167,551
516;559782,6844;9838901,118
517;559798,6138;9816560,608
518;559874,335;9857346,658
519;559893,18;9884751,697
520;559909,64;9883328,843
521;559922,8942;9884234,794
522;559941,628;9882513,957
523;559993,989;9895447,724
524;560008,6328;9816235,084
525;560030,4375;9805866,19
526;560047,9299;9892143,289
527;560148,194;9823557,21
528;560149,89;9881115,093
529;560185,459;9885660,228
530;560197,99;9901981,62
531;560258,827;9815940,253
532;560305,021;9883237,126
533;560305,021;9883237,126
534;560415,81;9553899,66
535;560427,644;9847352,988
536;560498,3033;9810477,865
537;560520;9775803
538;560531,037;9891258,866
539;560531,2432;9842038,926
540;560632,678;9897570,68
541;560645,119;9850986,983
542;560726,053;9880762,412
543;560736;9948713
544;560770,871;9881462,952
545;560828,618;9898261,226
546;560858,1762;9883901,152
547;560891,858;9882360,533
548;560912,1272;9913331,196
549;560920,652;9855142,775
550;560982,383;9884177,106
551;560988,4379;9883737,106
552;561003,2536;9883025,354
553;561043;9757510
554;561072;9889325
555;561079,797;9826121,629
556;561106,545;9870315,311
557;561149,9162;9809360,035
558;561245,4271;9843537,131
559;561289,891;9897762,005
560;561338,5969;9821104,446
561;561348,7126;9836220,243
562;561364,204;9897784,986
563;561433,594;9897713,606
564;561511,345;9882559,04
565;561530,495;9892198,243
566;561534,175;9883961,551
567;561601,754;9881957,599
568;561633,478;9831625,313
569;561637,97;9867208,862
570;561679,974;9883893,731
571;561679,974;9883893,731
572;561699,974;9883087,917
573;561790,9243;9837537,354
574;561799,848;9881550,726
575;561843,61;9516855,87
576;561898,963;9883470,487
577;562028,307;9881981,843
578;562094;9891122
579;562199,949;9881141,312
580;562256,742;9883262,973
581;562260,0078;9823376,328
582;562275,044;9827325,223
583;562296,205;9829982,762
584;562430,352;9855069,064
585;562444,612;9882569,47
586;562525,744;9893254,852
587;562558,391;9882497,202
588;562561;9918143
589;562701,135;9923195,485
590;562743,538;9852344,668
591;562833,58;9540204,98
592;562837,337;9834361,353
593;562940,224;9881516,092
594;562947;9749653
595;562974,0632;9813464,702
596;563041;9837908
597;563085,923;9880196,491
598;563129,986;9807870,282
599;563162,059;9881285,371
600;563172,129;9854560,297
601;563175,8009;9540649,291
602;563185,42;9879618,394
603;563279,026;9828118,168
604;563325,886;9828675,016
605;563372,249;9891929,908
606;563373,812;9850607,891
607;563413,234;9831176,301
608;563473,051;9892992,602
609;563616,125;9931138,187
610;563719,0107;9814511,511
611;563727,97;9520110,92
612;563755,8369;9813654,842
613;563766,965;9827993,374
614;563771,187;9931000,255
615;563805;9819012
616;563846,769;9879119,855
617;563877,4505;9933730,809
618;563877,4505;9933730,809
619;563878,596;9933730,775
620;563895,2641;9916929,352
621;563927,1128;9841156,879
622;564051,828;9857145,692
623;564091,66;9928893,06
624;564135;9773507
625;564154,3751;9893007,5
626;564240;9860570
627;564269,076;9930070,248
628;564368,398;9878236,093
629;564379,4728;9859091,287
630;564430,881;9858509,529
631;564433,4939;9822644,47
632;564433,8964;9955312,854
633;564452,111;9858274,079
634;564498,782;9824848,191
635;564519;9944420
636;564543,457;9858530,226
637;564552,0222;9820864,054
638;564565,01;9892277,74
639;564719,93;9851868,464
640;564740,099;9855023,772
641;564762,6977;9889884,751
642;564775,603;9858298,19
643;564797;9843534
644;564966,973;9858518,449
645;565000,575;9835440,167
646;565079,5663;9818014,51
647;565158,3451;9802827,951
648;565158,542;9877365,731
649;565291,226;9878767,579
650;565312;9961007
651;565379,429;9872110,119
652;565395,713;9865632,09
653;565454,045;9828960,004
654;565482,8582;9890078,062
655;565514,2518;9836544,641
656;565576,52;9889631,839
657;565608,5542;9549272,828
658;565675;9798040
659;565850,034;9934727,685
660;565879,735;9846271,635
661;565890,529;9834167,199
662;565893;9944270
663;565938,242;9877648,612
664;565946,458;9927895,331
665;566016,3707;9819954,771
666;566075,652;9852923,511
667;566093,9516;9957514,244
668;566122,58;9879149,766
669;566139,368;9934891,516
670;566203,197;9932991,17
671;566203,323;9875719,901
672;566286,9343;9876558,697
673;566308;9933603
674;566406,047;9868051,03
675;566456,7;9508047,31
676;566506,744;9874306,993
677;566757,5244;9808523,172
678;566762,0876;9888382,939
679;566774,55;9709601,22
680;566927,98;9505699,84
